解答文,正答文,ラベル,ラベルの値(解答←正答)
I uselly taking walk about 30 min.before breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.9924051
I make it a rule to take a walk for about half an hour before breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.9823783
I always take a walk for 30 minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.9884165
I am always going to take a walk 30minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,contradiction,0.9087694
I make it a rule to take a walk for half an hour before every breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.68147993
"I`m thinking about to gone office,no deside yet.","I have not made up my mind yet, but I’m thinking of leaving the company.",contradiction,0.9829495
"I haven't decided yet, but I'm thinking of quitting the company.","I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.99819237
"I haven't decided yet, but I am thinking to quit my job.","I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.9897629
I don't dicided yet I am thinking of quit the company. ,"I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.99734074
"I have not yet decided, but I would like to leave the company.","I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.99771595
"No staying hollyday,to study coming here.","I’ve come here to make a survey, not to spend my vacation.",contradiction,0.95837176
"I came here to do some reserch, not to spend holiday.","I’ve come here to make a survey, not to spend my vacation.",entail,0.9959698
"I don't spend the holidays, I came here to do some research.","I’ve come here to make a survey, not to spend my vacation.",entail,0.9980531
"I came here to do some research, not to spend my holidays.","I’ve come here to make a survey, not to spend my vacation.",entail,0.9977932
"I came here not to live a holiday,the way to a search.","I’ve come here to make a survey, not to spend my vacation.",entail,0.99743515
"I have waitting for him this morning,He doesn`t come.","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.9973986
"I have been waiting since this morning, but he has not shown up yet.","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.9981692
"I have been waiting since this morning, he has not turned up yet.","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.9982823
He has not appeared still even though I have waited from this morning.,"I’ve been waiting since this morning, but he still hasn’t come.",entail,0.99776804
"Although I wait him morning,he do not appear yet ","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.99831957
