解答文,正答文,ラベル,ラベルの値(解答→正答)
I uselly taking walk about 30 min.before breakfast.,I always go for a walk for about half an hour before breakfast.,neutral,0.54097944
I make it a rule to take a walk for about half an hour before breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.42312795
I always take a walk for 30 minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.9928098
I am always going to take a walk 30minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.9926374
I make it a rule to take a walk for half an hour before every breakfast.,I always go for a walk for about half an hour before breakfast.,entail,0.9850876
"I`m thinking about to gone office,no deside yet.","I have not made up my mind yet, but I’m thinking of leaving the company.",neutral,0.4995696
"I haven't decided yet, but I'm thinking of quitting the company.","I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.998384
"I haven't decided yet, but I am thinking to quit my job.","I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.99703753
I don't dicided yet I am thinking of quit the company. ,"I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.99726856
"I have not yet decided, but I would like to leave the company.","I have not made up my mind yet, but I’m thinking of leaving the company.",entail,0.9977405
"No staying hollyday,to study coming here.","I’ve come here to make a survey, not to spend my vacation.",entail,0.64388835
"I came here to do some reserch, not to spend holiday.","I’ve come here to make a survey, not to spend my vacation.",neutral,0.9865426
"I don't spend the holidays, I came here to do some research.","I’ve come here to make a survey, not to spend my vacation.",entail,0.9973098
"I came here to do some research, not to spend my holidays.","I’ve come here to make a survey, not to spend my vacation.",entail,0.9952669
"I came here not to live a holiday,the way to a search.","I’ve come here to make a survey, not to spend my vacation.",neutral,0.9895845
"I have waitting for him this morning,He doesn`t come.","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.997635
"I have been waiting since this morning, but he has not shown up yet.","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.99817455
"I have been waiting since this morning, he has not turned up yet.","I’ve been waiting since this morning, but he still hasn’t come.",entail,0.99786925
He has not appeared still even though I have waited from this morning.,"I’ve been waiting since this morning, but he still hasn’t come.",entail,0.9978892
"Although I wait him morning,he do not appear yet ","I’ve been waiting since this morning, but he still hasn’t come.",neutral,0.846385
I did't spend money that I thought  ,Living in Canada was not as expensive as I thought it would be.,neutral,0.9991339
Life in Canada was not as expensive as I thoght.,Living in Canada was not as expensive as I thought it would be.,entail,0.9978682
Living in Canada didn't cost much than I had expected.,Living in Canada was not as expensive as I thought it would be.,entail,0.9911775
I did not consume the money for Canadian life rather than I predicted before.,Living in Canada was not as expensive as I thought it would be.,entail,0.95968384
Living in Canada do not cost money than I think.,Living in Canada was not as expensive as I thought it would be.,contradiction,0.9036534
The plane has gone when we arrived at airport.,"When we got to the airport, the airplane had already left.",entail,0.9974911
"When we arrived at the airport, the plane had already taken off.","When we got to the airport, the airplane had already left.",entail,0.9983596
"When we arrived the airport, the aiplain have already taken off.","When we got to the airport, the airplane had already left.",entail,0.99354666
"When I arrived the airport, the flight had already taken off. ","When we got to the airport, the airplane had already left.",entail,0.9981134
The airplane have already departed when we arrived at the airport.,"When we got to the airport, the airplane had already left.",entail,0.9984617
"If I had money,I would stay one more night.","If I had more money, I could stay one more night.",entail,0.99764866
"If I have money , I stay one more night.","If I had more money, I could stay one more night.",entail,0.99437296
"If I have money, I would stay one more night.","If I had more money, I could stay one more night.",entail,0.99803907
If I have money I will stay one more night.,"If I had more money, I could stay one more night.",entail,0.99638003
I would like to stay one more night if I have money.,"If I had more money, I could stay one more night.",entail,0.9979736
"If I was hurr up, I made to ride on the last train last night.","If I had hurried last night, I could have caught the last train.",neutral,0.92339516
I would be on time last night if I go hurrily.,"If I had hurried last night, I could have caught the last train.",neutral,0.9969602
"Last night, if I had been in a rush, I could have caught the last train","If I had hurried last night, I could have caught the last train.",entail,0.99805546
"Last night, if I harried up, I were able to take the train.","If I had hurried last night, I could have caught the last train.",entail,0.98931634
I have riden by last train last night.,"If I had hurried last night, I could have caught the last train.",neutral,0.9976745
"Please tell me,Will the fast train  arrive at Shizuoka from Tokyo 9am?",Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,neutral,0.99577624
Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.9945904
I would like to know if the high speed train departing at 9am stop by Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,neutral,0.9843544
Could you tell me if the Shinkansen departing at 9am will stop in Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.9908895
Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not ?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.9949922
Bride and groom go honeymoon by express at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,entail,0.98580277
The bride and har hasband take the 5:30 express train for their haneymoon.,the bride and groom are leaving on their honeymoon on the 5:30 express.,neutral,0.9951847
The bloom and bride will be going to their honeymoon on the express train five thirty ,the bride and groom are leaving on their honeymoon on the 5:30 express.,entail,0.98721606
The bride and groom will go on their honeymoon on the express train at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,entail,0.9946392
New merring men and women are leaving travel of marring by special train half to 5 o'clock.,the bride and groom are leaving on their honeymoon on the 5:30 express.,neutral,0.9973726
We have been living at hotel until finding some apart anyday.  ,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",neutral,0.99016833
