ラベルの値_解答to正答,ラベルの値_正答to解答,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
0.54097944,0.9924051,0,0,0,0,0
0.42312795,0.9823783,1,1,1,1,1
0.9928098,0.9884165,1,1,1,1,1
0.9926374,0.9087694,0,1,1,1,0
0.9850876,0.68147993,0,0,1,0,0
0.4995696,0.9829495,0,0,0,0,0
0.998384,0.99819237,1,1,1,1,1
0.99703753,0.9897629,0,1,1,1,0
0.99726856,0.99734074,0,0,0,0,0
0.9977405,0.99771595,0,1,1,0,1
0.64388835,0.95837176,0,0,0,0,0
0.9865426,0.9959698,0,1,1,0,0
0.9973098,0.9980531,0,0,1,0,0
0.9952669,0.9977932,1,1,1,1,1
0.9895845,0.99743515,0,0,1,0,0
0.997635,0.9973986,0,0,1,0,0
0.99817455,0.9981692,1,1,1,1,1
0.99786925,0.9982823,0,0,1,0,0
0.9978892,0.99776804,1,1,1,1,1
0.846385,0.99831957,0,0,1,0,0
0.9991339,0.932769,0,0,1,0,0
0.9978682,0.99795747,1,1,1,1,1
0.9911775,0.9974492,1,1,1,1,1
0.95968384,0.94441444,0,1,1,1,0
0.9036534,0.9888915,0,0,1,0,0
0.9974911,0.99837947,0,0,1,0,0
0.9983596,0.9980203,1,1,1,1,1
0.99354666,0.99430096,0,1,1,0,0
0.9981134,0.99672407,0,1,1,1,0
0.9984617,0.99828404,1,1,1,1,1
0.99764866,0.9977915,1,1,1,1,1
0.99437296,0.96854377,0,0,1,0,0
0.99803907,0.9975189,0,1,1,1,0
0.99638003,0.9911917,0,0,1,0,0
0.9979736,0.9980082,1,1,1,1,1
0.92339516,0.91874677,0,0,0,0,0
0.9969602,0.4396847,0,0,1,0,0
0.99805546,0.9978454,1,1,1,1,1
0.98931634,0.99681014,0,1,1,1,0
0.9976745,0.978823,0,0,1,0,0
0.99577624,0.9931933,0,0,1,0,0
0.9945904,0.8608369,1,1,1,1,1
0.9843544,0.9960974,1,1,1,1,1
0.9908895,0.98966813,0,1,1,1,0
0.9949922,0.99513286,1,1,1,1,1
0.98580277,0.9982937,1,1,1,1,1
0.9951847,0.92268264,0,1,1,0,1
0.98721606,0.98703754,0,1,1,1,0
0.9946392,0.99818474,1,1,1,1,1
0.9973726,0.65883774,0,1,1,0,1
0.99016833,0.9803796,0,0,0,0,0
0.99295956,0.9954152,0,0,1,0,0
0.9840142,0.9970693,0,1,1,1,0
0.97344613,0.99749905,0,0,1,0,0
0.9955751,0.78986365,0,0,0,0,0
0.9883067,0.8053945,0,0,0,0,0
0.99821657,0.99825376,1,1,1,1,1
0.9789013,0.99584407,0,1,1,0,0
0.99865687,0.47080982,0,1,1,1,0
0.99368507,0.9955635,1,1,1,1,1
0.99522156,0.9951964,0,1,1,1,0
0.9969469,0.9961236,1,1,1,1,1
0.99708563,0.99521047,1,1,1,1,1
0.9955083,0.9955456,0,1,1,0,1
0.98036516,0.98457587,0,0,1,0,0
0.99714285,0.996536,1,1,1,1,1
0.9935183,0.73994994,1,1,1,1,1
0.9977737,0.9915959,1,1,1,1,1
0.9933357,0.5877782,0,1,1,0,0
0.9848706,0.6947454,0,1,1,0,1
