ラベルの値_解答to正答,ラベルの値_正答to解答,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
0.7848012,0.90562415,0,1,1,1,0
0.99771214,0.9957781,1,1,1,1,1
0.99411845,0.9903134,1,1,1,1,1
0.9934242,0.9953245,0,0,1,0,0
0.99968505,0.99564314,0,0,0,0,0
0.99597794,0.9939388,0,0,0,0,0
0.99729985,0.99823666,0,0,1,0,0
0.99743724,0.9968458,0,1,1,0,0
0.980346,0.9944882,0,1,1,0,1
0.99352807,0.99502003,0,1,1,1,0
0.9977235,0.9980819,0,1,1,1,0
0.99757856,0.9983814,1,1,1,1,1
0.99735403,0.9945634,1,1,1,1,1
0.99776113,0.99832827,1,1,1,1,1
0.9969836,0.9939056,1,1,1,1,1
0.95440376,0.95143294,0,0,1,0,0
0.98498154,0.99586606,1,1,1,1,1
0.83769315,0.990112,1,1,1,1,1
0.7141055,0.990764,0,0,0,0,0
0.9823278,0.895579,0,0,0,0,0
0.61918974,0.9915665,0,0,0,0,0
0.7543187,0.9890253,1,1,1,1,1
0.6643514,0.8852337,0,0,0,0,0
0.83767307,0.98716867,1,1,1,1,1
0.9922529,0.9912005,0,1,1,0,1
0.9946726,0.9373556,0,0,0,0,0
0.94368917,0.9816011,1,1,1,1,1
0.9915581,0.9857545,0,0,1,0,0
0.9791678,0.98336744,0,1,1,1,0
0.99889576,0.7291078,1,1,1,1,1
0.9928437,0.986516,0,1,1,1,0
0.99053895,0.9842248,0,1,1,0,1
0.9773999,0.8458118,0,0,1,0,0
0.9882627,0.99756587,0,0,0,0,0
0.9685958,0.9908702,0,0,0,0,0
0.99759847,0.991206,1,1,1,1,1
0.99840444,0.99639624,1,1,1,1,1
0.9659976,0.99186605,1,1,1,1,1
0.99728084,0.9955591,0,1,1,1,0
0.98940253,0.7591638,0,0,0,0,0
0.9980945,0.9841314,0,0,0,0,0
0.9967012,0.9976132,1,1,1,1,1
0.99764556,0.9975695,1,1,1,1,1
0.99740356,0.9961654,0,1,1,0,0
0.9983772,0.74092346,0,1,1,0,0
0.99687225,0.9968927,1,1,1,1,1
0.99320954,0.9698253,0,0,0,0,0
0.97433686,0.99784005,1,1,1,1,1
0.99803907,0.99777776,0,0,0,0,0
0.9972562,0.99666226,1,1,1,1,1
0.98747826,0.75365627,1,1,1,1,1
0.99717414,0.99643,0,0,0,0,0
0.9920771,0.99092215,0,0,0,0,0
0.99767226,0.9838933,1,1,1,1,1
0.9944074,0.89477414,0,0,0,0,0
0.99650586,0.95087814,0,0,0,0,0
0.99198395,0.9769945,0,0,1,0,0
0.9940329,0.9975279,0,0,1,0,0
0.9937494,0.98959,0,1,1,0,1
0.9932387,0.7604107,0,0,0,0,0
0.9978441,0.9986473,0,0,0,0,0
0.9902649,0.9924631,1,1,1,1,1
0.9665108,0.9925247,1,1,1,1,1
0.9220319,0.992547,1,1,1,1,1
0.487908,0.99323696,0,0,1,0,0
0.7718772,0.9296792,1,1,1,1,1
0.9530946,0.9969784,0,1,1,1,0
0.9963982,0.99777156,0,1,1,0,0
0.99543875,0.99834394,1,1,1,1,1
0.69578236,0.99656504,1,1,1,1,1
0.99631906,0.9951934,0,0,0,0,0
0.99557626,0.9974406,1,1,1,1,1
0.99578106,0.9467315,0,1,1,0,0
0.9958768,0.9984102,0,1,1,1,0
0.9670329,0.5695603,0,0,0,0,0
0.7371274,0.9885805,1,1,1,1,1
0.9990453,0.9970579,0,0,1,0,0
0.9747542,0.99713886,1,1,1,1,1
0.99870455,0.9928973,1,1,1,1,1
0.98557717,0.99136543,1,1,1,1,1
0.9929557,0.9977198,0,0,0,0,0
0.9749073,0.9962543,1,1,1,1,1
0.99480116,0.9867556,0,1,1,1,0
0.9909648,0.9982425,1,1,1,1,1
0.9970228,0.99388146,0,0,1,0,0
0.9975682,0.9975682,1,1,1,1,1
0.99757105,0.9981026,0,1,1,1,0
0.99778867,0.9979449,0,1,1,1,0
0.9949405,0.9954365,0,1,1,1,0
0.9976675,0.9977476,1,1,1,1,1
0.9979284,0.9977684,0,0,1,0,0
0.99023926,0.9968821,0,0,1,0,0
0.9971002,0.9778701,0,0,0,0,0
0.9978713,0.9981944,0,0,1,0,0
0.9973484,0.9976799,0,0,0,0,0
0.995741,0.99803334,1,1,1,1,1
0.9322975,0.99793077,0,0,0,0,0
0.9979265,0.49912784,1,1,1,1,1
0.9882129,0.99738115,1,1,1,1,1
0.99529207,0.99820006,1,1,1,1,1
0.998681,0.99151796,0,0,0,0,0
0.996323,0.99818283,0,0,1,0,0
0.99763477,0.9982664,1,1,1,1,1
0.995823,0.9953695,1,1,1,1,1
0.9930528,0.71468323,0,0,0,0,0
