解答文,正答文
"I uselly taking walk about 30 min.before breakfast.","I always go for a walk for about half an hour before breakfast."
"I make it a rule to take a walk for about half an hour before breakfast.","I always go for a walk for about half an hour before breakfast."
"I always take a walk for 30 minutes before breakfast.","I always go for a walk for about half an hour before breakfast."
"I am always going to take a walk 30minutes before breakfast.","I always go for a walk for about half an hour before breakfast."
"I make it a rule to take a walk for half an hour before every breakfast.","I always go for a walk for about half an hour before breakfast."
"I`m thinking about to gone office,no deside yet.","I have not made up my mind yet, but I’m thinking of leaving the company."
"I haven't decided yet, but I'm thinking of quitting the company.","I have not made up my mind yet, but I’m thinking of leaving the company."
"I haven't decided yet, but I am thinking to quit my job.","I have not made up my mind yet, but I’m thinking of leaving the company."
"I don't dicided yet I am thinking of quit the company.","I have not made up my mind yet, but I’m thinking of leaving the company."
"I have not yet decided, but I would like to leave the company.","I have not made up my mind yet, but I’m thinking of leaving the company."
"No staying hollyday,to study coming here.","I’ve come here to make a survey, not to spend my vacation."
"I came here to do some reserch, not to spend holiday.","I’ve come here to make a survey, not to spend my vacation."
"I don't spend the holidays, I came here to do some research.","I’ve come here to make a survey, not to spend my vacation."
"I came here to do some research, not to spend my holidays.","I’ve come here to make a survey, not to spend my vacation."
"I came here not to live a holiday,the way to a search.","I’ve come here to make a survey, not to spend my vacation."
"I have waitting for him this morning,He doesn`t come.","I’ve been waiting since this morning, but he still hasn’t come."
"I have been waiting since this morning, but he has not shown up yet.","I’ve been waiting since this morning, but he still hasn’t come."
"I have been waiting since this morning, he has not turned up yet.","I’ve been waiting since this morning, but he still hasn’t come."
"He has not appeared still even though I have waited from this morning.","I’ve been waiting since this morning, but he still hasn’t come."
"Although I wait him morning,he do not appear yet","I’ve been waiting since this morning, but he still hasn’t come."
"I did't spend money that I thought","Living in Canada was not as expensive as I thought it would be."
"Life in Canada was not as expensive as I thoght.","Living in Canada was not as expensive as I thought it would be."
"Living in Canada didn't cost much than I had expected.","Living in Canada was not as expensive as I thought it would be."
"I did not consume the money for Canadian life rather than I predicted before.","Living in Canada was not as expensive as I thought it would be."
"Living in Canada do not cost money than I think.","Living in Canada was not as expensive as I thought it would be."
"The plane has gone when we arrived at airport.","When we got to the airport, the airplane had already left."
"When we arrived at the airport, the plane had already taken off.","When we got to the airport, the airplane had already left."
"When we arrived the airport, the aiplain have already taken off.","When we got to the airport, the airplane had already left."
"When I arrived the airport, the flight had already taken off.","When we got to the airport, the airplane had already left."
"The airplane have already departed when we arrived at the airport.","When we got to the airport, the airplane had already left."
"If I had money,I would stay one more night.","If I had more money, I could stay one more night."
"If I have money , I stay one more night.","If I had more money, I could stay one more night."
"If I have money, I would stay one more night.","If I had more money, I could stay one more night."
"If I have money I will stay one more night.","If I had more money, I could stay one more night."
"I would like to stay one more night if I have money.","If I had more money, I could stay one more night."
"If I was hurr up, I made to ride on the last train last night.","If I had hurried last night, I could have caught the last train."
"I would be on time last night if I go hurrily.","If I had hurried last night, I could have caught the last train."
"Last night, if I had been in a rush, I could have caught the last train","If I had hurried last night, I could have caught the last train."
"Last night, if I harried up, I were able to take the train.","If I had hurried last night, I could have caught the last train."
"I have riden by last train last night.","If I had hurried last night, I could have caught the last train."
"Please tell me,Will the fast train  arrive at Shizuoka from Tokyo 9am?","Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?"
"Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.","Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?"
"I would like to know if the high speed train departing at 9am stop by Shizuoka.","Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?"
"Could you tell me if the Shinkansen departing at 9am will stop in Shizuoka.","Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?"
"Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not ?","Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?"
"Bride and groom go honeymoon by express at 5:30.","the bride and groom are leaving on their honeymoon on the 5:30 express."
"The bride and har hasband take the 5:30 express train for their haneymoon.","the bride and groom are leaving on their honeymoon on the 5:30 express."
"The bloom and bride will be going to their honeymoon on the express train five thirty","the bride and groom are leaving on their honeymoon on the 5:30 express."
"The bride and groom will go on their honeymoon on the express train at 5:30.","the bride and groom are leaving on their honeymoon on the 5:30 express."
"New merring men and women are leaving travel of marring by special train half to 5 o'clock.","the bride and groom are leaving on their honeymoon on the 5:30 express."
"We have been living at hotel until finding some apart anyday.","We are living in a hotel for the time being, but we are going to find an apartment pre"tty soon.
"We are living in a hotel for long time, but will find an apartment after a while.","We are living in a hotel for the time being, but we are going to find an apartment pre"tty soon.
"We've been staying hotel for the time being, however we are planning to find a room for rent in the near future.","We are living in a hotel for the time being, but we are going to find an apartment pre"tty soon.
"We live in a hotel for a while, we would find an apartment.","We are living in a hotel for the time being, but we are going to find an apartment pre"tty soon.
"We will find a manshon","We are living in a hotel for the time being, but we are going to find an apartment pre"tty soon.
"I will diside absent scool and stay home,it will be recove from cold couple of days.","If he stays home from school for a few days, he will get over his cold."
"If he stays home from school, he will get over his cold in a few days.","If he stays home from school for a few days, he will get over his cold."
"He must recover from sick in a few days if he absents from school and stay in his house","If he stays home from school for a few days, he will get over his cold."
"If he will be absent from school to stay home. his cold is must be cured.","If he stays home from school for a few days, he will get over his cold."
"If he is absent from school and stays home, he must be able to get over his cold within a few days.","If he stays home from school for a few days, he will get over his cold."
"Foreign tourist to visit Japan increase year by year.","Every year more and more foreign tourists are visiting Japan."
"The number of foreigners visiting Japan is increasing year by year.","Every year more and more foreign tourists are visiting Japan."
"The number of foreign tourists who visit Japan is increasing.","Every year more and more foreign tourists are visiting Japan."
"The number of visitors from foreigen countries to Japan is increasing year by year.","Every year more and more foreign tourists are visiting Japan."
"It is  yearly incline that other country tourists visit Japan.","Every year more and more foreign tourists are visiting Japan."
"I went to Enoshima for the swimming the summer before last,","I went swimming in Enoshima the summer before last."
"I went to Enoshima for sea bathing in summer two years ago.","I went swimming in Enoshima the summer before last."
"I went to Enoshima to swim in the summer before last year.","I went swimming in Enoshima the summer before last."
"In the summmer two years ago,I went bathing to Enoshima beach.","I went swimming in Enoshima the summer before last."
"I went to swin at Enoshima the summer before last year.","I went swimming in Enoshima the summer before last."
"These days, many people do most of their business with their cellphones.","Nowadays many people get almost everything done by using their cellphones."
"In these days, a lot of people do every thing with cell phone.","Nowadays many people get almost everything done by using their cellphones."
"These days, many people use their mobile phones to do most work they have to.","Nowadays many people get almost everything done by using their cellphones."
"In these days, most of the things can be done by mobile phones.","Nowadays many people get almost everything done by using their cellphones."
"Recently,many people do most of their work by using thier cellphone.","Nowadays many people get almost everything done by using their cellphones."
"The Cabinet's approval rating has soared sicce the past two months.","The approval rating for the Cabinet has been rising sharply for the last two months."
"Number of person agree with minister increased in this two month.","The approval rating for the Cabinet has been rising sharply for the last two months."
"In the last two months, the rate of support for the government increased rapidly.","The approval rating for the Cabinet has been rising sharply for the last two months."
"The supportive rate for the government has surged in these two months.","The approval rating for the Cabinet has been rising sharply for the last two months."
"The rating of    is increased rapidly in this two months.","The approval rating for the Cabinet has been rising sharply for the last two months."
"What do you do first,when you wake up the morning?","What is the first thing you do after you get up?"
"What do you do first when you get up.","What is the first thing you do after you get up?"
"What do you do first when you wake up in the morning?","What is the first thing you do after you get up?"
"What to do first in the morning.","What is the first thing you do after you get up?"
"What do you do first when you wake up in the morning?","What is the first thing you do after you get up?"
"It is better that is secret.","You should leave it unsaid."
"You had better keep it a secret.","You should leave it unsaid."
"You had better keep it a secret.","You should leave it unsaid."
"It's better to keep it a secret.","You should leave it unsaid."
"It is better for you to keep it secret.","You should leave it unsaid."
"The minister had no choice but to take back what he had said.","The minister had to admit that what he said was wrong."
"The minister had to withdrae his comment.","The minister had to admit that what he said was wrong."
"The minister had no way except taking back what he said.","The minister had to admit that what he said was wrong."
"The minister had to admit what he said was wrong.","The minister had to admit that what he said was wrong."
"The minister forced to cancel previous opinion.","The minister had to admit that what he said was wrong."
"After I lost her, I realized that there was something money couldn't buy for the first time.","I had thought I could buy anything with money until I lost her."
"I knew there is a thing not to buy money to lose her.","I had thought I could buy anything with money until I lost her."
"I noticed of that there is something that cannnot buy in the first time after breaking up with my girlfriend.","I had thought I could buy anything with money until I lost her."
"Only when I had lost her, I knew that there are things that I can't buy with money.","I had thought I could buy anything with money until I lost her."
"I lost her and this was the first time for me to find out that there was cashless.","I had thought I could buy anything with money until I lost her."
"Recentlly,It be abel to take abroad trips cheeply couse preousiou en.","Thanks to the strong yen, we can travel abroad for less money these days."
"Thanks to the increase of yen's value, we can travel abroad at a lower price.","Thanks to the strong yen, we can travel abroad for less money these days."
"Thanks to the strong yen, you can enjoy traveling abroad in low prices recently.","Thanks to the strong yen, we can travel abroad for less money these days."
