採点フラグ,J-Escore,E-Escore,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
11,0.939947367,0.90495193,0,1,1,1,0
111,0.939999163,0.91548121,1,1,1,1,1
111,0.968330145,0.891793609,1,1,1,1,1
101,0.966887474,0.919106126,0,0,1,0,0
0,0.828188896,0.760689616,0,0,0,0,0
0,0.823294222,0.793964386,0,0,0,0,0
101,0.864115596,0.757887721,0,0,1,0,0
10,0.839718759,0.741265774,0,1,1,0,0
110,0.837345481,0.698399663,0,1,1,0,1
11,0.847205937,0.75087595,0,1,1,1,0
11,0.917547464,0.907138705,0,1,1,1,0
111,0.946531892,0.925666213,1,1,1,1,1
111,0.877277017,0.759168983,1,1,1,1,1
111,0.858588576,0.828659475,1,1,1,1,1
111,0.89087218,0.81040293,1,1,1,1,1
100,0.640990615,0.28028965,0,0,1,0,0
111,0.919386029,0.593030751,1,1,1,1,1
111,0.874579072,0.590639353,1,1,1,1,1
0,0.815205216,0.471888691,0,0,0,0,0
0,0.73311162,0.41639933,0,0,0,0,0
0,0.699027419,0.303559363,0,0,0,0,0
111,0.932622313,0.570725143,1,1,1,1,1
0,0.669205725,0.360150069,0,0,0,0,0
111,0.891276062,0.487899691,1,1,1,1,1
110,0.858473539,0.470704913,0,1,1,0,1
0,0.551097453,0.426644117,0,0,0,0,0
111,0.870141745,0.656175435,1,1,1,1,1
101,0.902502298,0.792843103,0,0,1,0,0
11,0.936209977,0.626302838,0,1,1,1,0
111,0.93103224,0.555811286,1,1,1,1,1
11,0.94844234,0.603269756,0,1,1,1,0
110,0.913497865,0.631512523,0,1,1,0,1
101,0.960404038,0.681427479,0,0,1,0,0
0,0.966124654,0.692347527,0,0,0,0,0
0,0.879302025,0.610497057,0,0,0,0,0
111,0.967839003,0.864746213,1,1,1,1,1
111,0.956396222,0.86248517,1,1,1,1,1
111,0.965585053,0.823432446,1,1,1,1,1
11,0.951048851,0.805347681,0,1,1,1,0
0,0.614920497,0.421986341,0,0,0,0,0
0,0.811012387,0.594083667,0,0,0,0,0
111,0.953160226,0.954910219,1,1,1,1,1
111,0.954422235,0.938344598,1,1,1,1,1
10,0.900795877,0.828486323,0,1,1,0,0
10,0.93409431,0.818063855,0,1,1,0,0
111,0.880654454,0.985016048,1,1,1,1,1
0,0.851647973,0.774330378,0,0,0,0,0
111,0.865990162,0.946402073,1,1,1,1,1
0,0.859766841,0.983801484,0,0,0,0,0
111,0.882445931,0.976450682,1,1,1,1,1
111,0.902238607,0.761271596,1,1,1,1,1
0,0.881469607,0.929697037,0,0,0,0,0
0,0.81232959,0.861643076,0,0,0,0,0
111,0.719402611,0.601061463,1,1,1,1,1
0,0.895545602,0.7824229,0,0,0,0,0
0,0.379040956,0.145702481,0,0,0,0,0
1,0.753677785,0.606589258,0,0,1,0,0
101,0.927850842,0.709976315,0,0,1,0,0
110,0.923907876,0.687812686,0,1,1,0,1
0,0.627336502,0.328484565,0,0,0,0,0
0,0.631199479,0.423828572,0,0,0,0,0
111,0.912972271,0.800755262,1,1,1,1,1
111,0.824428439,0.546445727,1,1,1,1,1
111,0.907235265,0.601177692,1,1,1,1,1
101,0.863460183,0.629902065,0,0,1,0,0
111,0.714345217,0.52308023,1,1,1,1,1
11,0.871516705,0.552500844,0,1,1,1,0
10,0.887049198,0.647374153,0,1,1,0,0
111,0.868687689,0.676126778,1,1,1,1,1
111,0.85479027,0.724642575,1,1,1,1,1
0,0.902620912,0.617905617,0,0,0,0,0
111,0.93290019,0.959115684,1,1,1,1,1
10,0.919776738,0.788635612,0,1,1,0,0
11,0.95786047,0.939356327,0,1,1,1,0
0,0.736675858,0.643676341,0,0,0,0,0
111,0.954597592,0.901025653,1,1,1,1,1
1,0.884797156,0.788707376,0,0,1,0,0
111,0.957640409,0.8773247,1,1,1,1,1
111,0.948002934,0.88761282,1,1,1,1,1
111,0.952670813,0.880046368,1,1,1,1,1
0,0.936719477,0.923938751,0,0,0,0,0
111,0.947217166,0.854849935,1,1,1,1,1
11,0.923985243,0.9043082,0,1,1,1,0
111,0.964905024,0.939165473,1,1,1,1,1
1,0.893514454,0.706202745,0,0,1,0,0
111,0.955791652,1.000000119,1,1,1,1,1
11,0.91992265,0.888488173,0,1,1,1,0
11,0.949728906,0.991540372,0,1,1,1,0
11,0.885179222,0.772524118,0,1,1,1,0
