採点フラグ,J-Escore,E-Escore,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
0,0.909771681,0.747008622,0,0,0,0,0
111,0.891080797,0.794380724,1,1,1,1,1
111,0.926733315,0.873550117,1,1,1,1,1
11,0.917413235,0.862707019,0,1,1,1,0
101,0.902889371,0.812473655,0,0,1,0,0
0,0.661513329,0.531318247,0,0,0,0,0
111,0.979253709,0.814410329,1,1,1,1,1
11,0.907582283,0.742067337,0,1,1,1,0
0,0.945915461,0.774350286,0,0,0,0,0
110,0.894448161,0.824635386,0,1,1,0,1
0,0.635376394,0.33487922,0,0,0,0,0
10,0.755379915,0.551474929,0,1,1,0,0
1,0.846329689,0.597764134,0,0,1,0,0
111,0.86689502,0.657019258,1,1,1,1,1
101,0.756599188,0.532580316,0,0,1,0,0
100,0.936485052,0.823835373,0,0,1,0,0
111,0.948038101,0.805934668,1,1,1,1,1
101,0.956418335,0.80652976,0,0,1,0,0
111,0.889854908,0.750038266,1,1,1,1,1
1,0.904038429,0.744044542,0,0,1,0,0
101,0.45373857,0.326724291,0,0,1,0,0
111,0.790852904,0.900316536,1,1,1,1,1
111,0.75306797,0.846861839,1,1,1,1,1
11,0.744228423,0.7163077,0,1,1,1,0
101,0.670327187,0.856616735,0,0,1,0,0
1,0.709518671,0.795263469,0,0,1,0,0
111,0.950485229,0.841536164,1,1,1,1,1
10,0.85319984,0.692337632,0,1,1,0,0
11,0.912231803,0.800651133,0,1,1,1,0
111,0.88713336,0.8509835,1,1,1,1,1
111,0.92629838,0.968695641,1,1,1,1,1
1,0.874222159,0.92242831,0,0,1,0,0
11,0.935493827,0.948782325,0,1,1,1,0
1,0.868154347,0.914736032,0,0,1,0,0
111,0.879261851,0.896367073,1,1,1,1,1
0,0.824472308,0.752563953,0,0,0,0,0
100,0.730985165,0.530033827,0,0,1,0,0
111,0.851966262,0.945672929,1,1,1,1,1
11,0.814223588,0.762255311,0,1,1,1,0
100,0.773810506,0.710167706,0,0,1,0,0
100,0.88510716,0.537690938,0,0,1,0,0
111,0.867826641,0.827412844,1,1,1,1,1
111,0.884427905,0.544677973,1,1,1,1,1
11,0.887149334,0.823456883,0,1,1,1,0
111,0.797435641,0.759235144,1,1,1,1,1
111,0.86932683,0.889988899,1,1,1,1,1
110,0.821077287,0.571673036,0,1,1,0,1
11,0.855948389,0.708703578,0,1,1,1,0
111,0.851101696,0.774434209,1,1,1,1,1
110,0.639359891,0.490844667,0,1,1,0,1
0,0.759075105,0.715227604,0,0,0,0,0
1,0.891002774,0.879662037,0,0,1,0,0
11,0.872950554,0.787329733,0,1,1,1,0
101,0.909661531,0.879794121,0,0,1,0,0
0,0.384114593,0.341050148,0,0,0,0,0
0,0.648342431,0.548187137,0,0,0,0,0
111,0.937494278,0.984191239,1,1,1,1,1
10,0.75429666,0.645056605,0,1,1,0,0
11,0.835737467,0.814253449,0,1,1,1,0
111,0.9205755,0.912138224,1,1,1,1,1
11,0.970557332,0.842802167,0,1,1,1,0
111,0.966616571,0.852096736,1,1,1,1,1
111,0.980848432,0.867425621,1,1,1,1,1
110,0.922744632,0.74982208,0,1,1,0,1
101,0.804993629,0.815925837,0,0,1,0,0
111,0.833532572,0.95189327,1,1,1,1,1
111,0.885380387,0.871101141,1,1,1,1,1
111,0.846156001,0.927326798,1,1,1,1,1
10,0.851341844,0.79309237,0,1,1,0,0
110,0.704614639,0.782952607,0,1,1,0,1
101,0.925793052,0.858586311,0,0,1,0,0
0,0.865241587,0.828625381,0,0,0,0,0
101,0.893143535,0.801448584,0,0,1,0,0
1,0.920350432,0.679260492,0,0,1,0,0
100,0.8964926,0.774867475,0,0,1,0,0
110,0.826377988,0.74143362,0,1,1,0,1
1,0.730394125,0.409485579,0,0,1,0,0
101,0.893283129,0.475173235,0,0,1,0,0
101,0.840838194,0.468638062,0,0,1,0,0
1,0.749326289,0.552008748,0,0,1,0,0
11,0.989456296,0.665136576,0,1,1,1,0
111,0.9575423,0.90933013,1,1,1,1,1
111,0.986855984,0.646562278,1,1,1,1,1
101,0.934039056,0.537117779,0,0,1,0,0
111,0.986855984,0.646562278,1,1,1,1,1
111,0.835223079,0.278093755,1,1,1,1,1
111,0.952530742,0.469892144,1,1,1,1,1
111,0.952530742,0.469892144,1,1,1,1,1
111,0.933487177,0.410063267,1,1,1,1,1
111,0.915977716,0.402204067,1,1,1,1,1
111,0.737015009,0.520941198,1,1,1,1,1
110,0.873328745,0.456199765,0,1,1,0,1
11,0.68320787,0.506410003,0,1,1,1,0
111,0.677541852,0.992942214,1,1,1,1,1
1,0.823485732,0.534732103,0,0,1,0,0
111,0.919911861,0.786599696,1,1,1,1,1
