日本語	S	答え	品詞
地図を描いてあげましょう。	I’ll watch a map for you.	I’ll draw a map for you.	動詞
地図を描いてあげましょう。	I'll cook a map for you.	I’ll draw a map for you.	動詞
地図を描いてあげましょう。	I'll play a map for you.	I’ll draw a map for you.	動詞
私はニューヨークのホテルに1週間滞在するつもりです。	I’m going to give at a hotel in New York for a week.	I’m going to stay at a hotel in New York for a week.	動詞
私はニューヨークのホテルに1週間滞在するつもりです。	I’m going to take at a hotel in New York for a week.	I’m going to stay at a hotel in New York for a week.	動詞
私はニューヨークのホテルに1週間滞在するつもりです。	I’m going to catch at a hotel in New York for a week.	I’m going to stay at a hotel in New York for a week.	動詞
バレーボールの試合は9時に始まりました。	The volleyball game met at 9:00.	The volleyball game began at 9:00.	動詞
バレーボールの試合は9時に始まりました。	The volleyball game visited at 9:00.	The volleyball game began at 9:00.	動詞
バレーボールの試合は9時に始まりました。	The volleyball game visited at 9:00.	The volleyball game began at 9:00.	動詞
この箱は重たすぎる。	This box is too slow.	This box is too heavy.	形容詞
この箱は重たすぎる。	This box is too hungry.	This box is too heavy.	形容詞
この箱は重たすぎる。	This box is too sleepy.	This box is too heavy.	形容詞
昨日はとても疲れていたので早く寝ました。	I was very rich yesterday, so I went to bed early.	I was very tired yesterday, so I went to bed early.	形容詞
昨日はとても疲れていたので早く寝ました。	I was  very quiet yesterday, so I went to bed early.	I was very tired yesterday, so I went to bed early.	形容詞
昨日はとても疲れていたので早く寝ました。	I was  very sharply yesterday, so I went to bed early.	I was very tired yesterday, so I went to bed early.	形容詞
あなたの一番好きな季節はなんですか。	What’s your kind season.	What’s your favorite season.	形容詞
あなたの一番好きな季節はなんですか。	What’s your careful season.	What’s your favorite season.	形容詞
あなたの一番好きな季節はなんですか。	What’s your strong season.	What’s your favorite season.	形容詞
来年また行きたいと思います。	I want to go away next year.	I want to go again next year.	副詞
来年また行きたいと思います。	I want to go ago next year.	I want to go again next year.	副詞
来年また行きたいと思います。	I want to go out next year.	I want to go again next year.	副詞
ナンシーはテニスが得意です。	Nancy is nice at playing tennis.	Nancy is good at playing tennis.	副詞
ナンシーはテニスが得意です。	Nancy is difficult at playing tennis.	Nancy is good at playing tennis.	副詞
ナンシーはテニスが得意です。	Nancy is well at playing tennis.	Nancy is good at playing tennis.	副詞
傘を持ってきなさい。	Take your village with you.	Take your umbrella with you.	名詞
傘を持ってきなさい。	Take your festival with you.	Take your umbrella with you.	名詞
傘を持ってきなさい。	Take your health with you.	Take your umbrella with you.	名詞
彼は将来ピアニストになりたいと思っています。	He wants to be a pianist in the breakfast.	He wants to be a pianist in the future.	名詞
彼は将来ピアニストになりたいと思っています。	He wants to be a pianist in the weather.	He wants to be a pianist in the future.	名詞
彼は将来ピアニストになりたいと思っています。	He wants to be a pianist in the holiday.	He wants to be a pianist in the future.	名詞
今夜は空にたくさんの美しい星が見えます。	I can see many beautiful stars in the wall tonight.	I can see many beautiful stars in the sky tonight.	名詞
今夜は空にたくさんの美しい星が見えます。	I can see many beautiful stars in the river tonight.	I can see many beautiful stars in the sky tonight.	名詞
今夜は空にたくさんの美しい星が見えます。	I can see many beautiful stars in the kitchen tonight.	I can see many beautiful stars in the sky tonight.	名詞
デイビットがあまりにも申し訳なさそうにしていたので、彼女は彼を許してあげた。	David looked so sorry that she prevented him.	David looked so sorry that she forgave him.	動詞
