S,T,L
Many immigrants came to the United States to find a job and start a new life.,many substitutes arrived in the United States to find jobs and begin new lives.,contradiction
Many immigrants came to the United States to find a job and start a new life.,many opponents arrived in the United States to find jobs and begin new lives.,contradiction
Many immigrants came to the United States to find a job and start a new life.,many candidates arrived in the United States to find jobs and begin new lives.,contradiction
Many immigrants came to the United States to find a job and start a new life.,many arrived in the United States to find jobs and begin new lives.,contradiction
Many immigrants came to the United States to find a job and start a new life.,many immigrants arrived in the United States to find jobs and begin new lives.,entail
He is not patient to students who are talking during class.,He does not contrast students who talk in his classroom,contradiction
He is not patient to students who are talking during class.,He does not delete students who talk in his classroom.,contradiction
He is not patient to students who are talking during class.,He does not straighten students who talk in his classroom,contradiction
He is not patient to students who are talking during class.,He does not students who talk in his classroom,contradiction
He is not patient to students who are talking during class.,He does not tolerate students who talk in his classroom.,entail
"No, just follow the instructions of this book.","No, just follow the invitations in this book.",contradiction
"No, just follow the instructions of this book.","No, just follow the advantages in this book.",contradiction
"No, just follow the instructions of this book.","No, just follow the attitudes in this book.",contradiction
"No, just follow the instructions of this book.","No, just follow the in this book.",contradiction
"No, just follow the instructions of this book.","No, just follow the instructions in this book.",entail
She seemed that there were some old photos.,she saw it served some old photos.,contradiction
She seemed that there were some old photos.,she saw it expected some old photos.,contradiction
She seemed that there were some old photos.,she saw it required some old photos.,contradiction
She seemed that there were some old photos.,she saw it some old photos.,contradiction
She seemed that there were some old photos.,she saw it contained some old photos.,entail
Naturally he speaks Spanish very well.,"Safely, he speaks Spanish very well.",contradiction
Naturally he speaks Spanish very well.,"Tightly, he speaks Spanish very well.",contradiction
Naturally he speaks Spanish very well.,"Greatly, he speaks Spanish very well.",contradiction
Naturally he speaks Spanish very well.,"he speaks Spanish very well.",contradiction
Naturally he speaks Spanish very well.,"Naturally, he speaks Spanish very well.",entail
"As the area was very isolated, the rescue member takes a long time to find them.",It took a long time for the rescuers to find them because the area was so punctual.,contradiction
"As the area was very isolated, the rescue member takes a long time to find them.",It took a long time for the rescuers to find them because the area was so responsible.,contradiction
"As the area was very isolated, the rescue member takes a long time to find them.",It took a long time for the rescuers to find them because the area was so frightened.,contradiction
"As the area was very isolated, the rescue member takes a long time to find them.",It took a long time for the rescuers to find them because the area was so.,contradiction
"As the area was very isolated, the rescue member takes a long time to find them.",It took a long time for the rescuers to find them because the area was so isolated.,entail
She began stretching and yoga to improve flexibility.,She began stretching and doing yoga to improve her gravity.,contradiction
She began stretching and yoga to improve flexibility.,She began stretching and doing yoga to improve her sympathy.,contradiction
She began stretching and yoga to improve flexibility.,She began stretching and doing yoga to improve her anniversary.,contradiction
She began stretching and yoga to improve flexibility.,She began stretching and doing yoga to improve her.,contradiction
She began stretching and yoga to improve flexibility.,She began stretching and doing yoga to improve her flexibility.,entail
"If the students violate the rules, the school immediately calls their student's parents.","If a student delays a rule, the school immediately calls his or her parents.",contradiction
"If the students violate the rules, the school immediately calls their student's parents.","If a student approaches a rule, the school immediately calls his or her parents.",contradiction
"If the students violate the rules, the school immediately calls their student's parents.","If a student translates a rule, the school immediately calls his or her parents.",contradiction
"If the students violate the rules, the school immediately calls their student's parents.","If a student a rule, the school immediately calls his or her parents.",contradiction
"If the students violate the rules, the school immediately calls their student's parents.","If a student violates a rule, the school immediately calls his or her parents.",entail
Take a salt.,Please join me the salt.,contradiction
Take a salt.,Please kick me the salt.,contradiction
Take a salt.,Please miss me the salt.,contradiction
Take a salt.,Please me the salt.,contradiction
Take a salt.,Please pass me the salt.,entail
Lucy was born on the same day as her grandfather.,Lucy was paid on the same day as her grandfather.,contradiction
Lucy was born on the same day as her grandfather.,Lucy was held on the same day as her grandfather.,contradiction
Lucy was born on the same day as her grandfather.,Lucy was grown on the same day as her grandfather.,contradiction
Lucy was born on the same day as her grandfather.,Lucy was on the same day as her grandfather.,contradiction
Lucy was born on the same day as her grandfather.,Lucy was born on the same day as her grandfather.,entail
"Be careful, Brian","Be different, Brian.",contradiction
"Be careful, Brian","Be simple, Brian.",contradiction
"Be careful, Brian","Be popular, Brian.",contradiction
"Be careful, Brian","Be, Brian.",contradiction
"Be careful, Brian","Be careful, Brian.",entail
Which sizes do you wear?,What soap do you wear?,contradiction
Which sizes do you wear?,What idea do you wear?,contradiction
Which sizes do you wear?,What life do you wear?,contradiction
Which sizes do you wear?,What do you wear?,contradiction
Which sizes do you wear?,What size do you wear?,entail
"What is looking for, Susan?","What are you meeting for, Susan?",contradiction
"What is looking for, Susan?","What are you reading for, Susan?",contradiction
"What is looking for, Susan?","What are you bringing for, Susan?",contradiction
"What is looking for, Susan?","What are you for, Susan?",contradiction
"What is looking for, Susan?","What are you looking for, Susan?",entail
They will build new homes next year.,they are going to taste a new house next year.,contradiction
They will build new homes next year.,they are going to imagine a new house next year.,contradiction
They will build new homes next year.,they are going to invite a new house next year.,contradiction
They will build new homes next year.,they are going to a new house next year.,contradiction
